id,'checking_status','duration','credit_history','purpose','credit_amount','savings_status','employment','installment_commitment','personal_status','other_parties','residence_since','property_magnitude','age','other_payment_plans','housing','existing_credits','job','num_dependents','own_telephone','foreign_worker','class'
LON01,<0,6,critical/other existing credit,radio/tv,128590,No Savings,>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good
LON02,0<=X<200,48,existing paid,radio/tv,654610,Less than 10000,1<=X<4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,bad
LON03,no checking,12,critical/other existing credit,education,230560,Less than 10000,4<=X<7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,good
LON04,<0,42,existing paid,furniture/equipment,867020,Less than 10000,4<=X<7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good
LON05,<0,24,delayed previously,new car,535700,Less than 10000,1<=X<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
LON06,no checking,36,existing paid,education,996050,No Savings,1<=X<4,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,good
LON07,no checking,24,existing paid,furniture/equipment,311850,50000 - 99999,>=7,3,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good
LON08,0<=X<200,36,existing paid,used car,764280,Less than 10000,1<=X<4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
LON09,no checking,12,existing paid,radio/tv,336490,"1,00000 or Above",4<=X<7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,good
LON10,0<=X<200,30,critical/other existing credit,new car,575740,Less than 10000,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
LON11,0<=X<200,12,existing paid,new car,142450,Less than 10000,<1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
LON12,<0,48,existing paid,business,473880,Less than 10000,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
LON13,0<=X<200,12,existing paid,radio/tv,172370,Less than 10000,1<=X<4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
LON14,<0,24,critical/other existing credit,new car,131890,Less than 10000,>=7,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,bad
LON15,<0,15,existing paid,new car,154330,Less than 10000,1<=X<4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,good
LON16,<0,24,existing paid,radio/tv,141020,10000 - 49999,1<=X<4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,bad
LON17,no checking,24,critical/other existing credit,radio/tv,266640,No Savings,>=7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good
LON18,<0,30,no credits/all paid,business,887920,No Savings,<1,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
LON19,0<=X<200,24,existing paid,used car,1383690,Less than 10000,>=7,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
LON20,no checking,24,existing paid,radio/tv,377300,50000 - 99999,>=7,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
LON21,no checking,9,critical/other existing credit,new car,234740,Less than 10000,1<=X<4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
LON22,<0,6,existing paid,radio/tv,291170,50000 - 99999,1<=X<4,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,good
LON23,<0,10,critical/other existing credit,new car,246510,Less than 10000,<1,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,good
LON24,0<=X<200,12,critical/other existing credit,used car,198440,10000 - 49999,<1,3,male single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good
LON25,no checking,10,critical/other existing credit,furniture/equipment,227590,No Savings,1<=X<4,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,good
LON26,<0,6,existing paid,furniture/equipment,151140,Less than 10000,1<=X<4,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,good
LON27,no checking,6,no credits/all paid,radio/tv,46860,Less than 10000,>=7,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,good
